date,pocet_hosp,nakazeny,vylieceny,testy
2020-02-29,2150.0,3010,109,49127
2020-03-31,11056.0,4687,4945,204544
2020-05-01,4299.0,1605,2805,189764
2020-06-01,2172.0,2787,1669,111171
2020-07-02,2603.0,4624,3810,145619
2020-08-02,3784.0,8434,6698,221543
2020-09-02,16606.0,52938,31412,513503
2020-10-03,130239.0,272836,192166,950640
2020-11-03,194754.0,186790,244988,765773
2020-12-04,151921.0,209412,164031,693648
2021-01-04,205003.0,267118,270565,843549
2021-02-04,212561.0,308255,258033,906138
2021-03-07,254805.0,239844,281721,754641
2021-04-07,120834.0,83590,128025,528701
2021-05-08,30988.0,19639,39734,584016
2021-06-08,3188.0,4549,7183,813654
2021-07-09,1469.0,5939,5505,1022203
2021-08-09,2124.0,7013,5636,1009048
2021-09-09,6545.0,17737,10987,677926
2021-10-10,44957.0,143274,54906,1154981
2021-11-10,113284.0,328687,197118,1569233
