kraj,<15,<30,<45,<60,>60
Praha,48283,47459,76586,56322,43519
Stredocesky,60743,50379,83064,72194,50915
Jihocesky,24616,24748,35990,34055,26689
Plzensky,20829,22573,34124,31475,23531
Karlovarsky,6721,8424,12562,13466,12115
Ustecky,25781,27187,40024,39708,31039
Liberecky,16978,17229,25721,24155,18395
Kralovehradecky,20982,21659,31081,31412,26109
Pardubicky,22067,22403,31612,29647,22597
Vysocina,16665,19420,27459,27209,21019
Jihomoravsky,39527,42918,65720,56687,43551
Olomoucky,24238,25030,37316,35199,25962
Zlinsky,22578,23202,33695,32790,24950
Moravskoslezsky,42787,45613,67168,66353,50033
