datum,umrti_celkom,neockovani,jedna_davka,zaockovani
2021-01-01,152,152,0,0
2021-01-02,152,152,0,0
2021-01-03,141,140,0,1
2021-01-04,152,152,0,0
2021-01-05,181,181,0,0
2021-01-06,162,160,2,0
2021-01-07,187,186,1,0
2021-01-08,197,197,0,0
2021-01-09,165,165,0,0
2021-01-10,184,184,0,0
2021-01-11,163,163,0,0
2021-01-12,177,175,2,0
2021-01-13,164,162,2,0
2021-01-14,181,180,1,0
2021-01-15,165,163,2,0
2021-01-16,156,156,0,0
2021-01-17,158,157,1,0
2021-01-18,160,160,0,0
2021-01-19,157,155,2,0
2021-01-20,148,147,1,0
2021-01-21,152,151,1,0
2021-01-22,136,133,3,0
2021-01-23,143,140,3,0
2021-01-24,145,140,5,0
2021-01-25,140,136,4,0
2021-01-26,143,135,8,0
2021-01-27,160,153,7,0
2021-01-28,135,126,9,0
2021-01-29,152,147,5,0
2021-01-30,126,120,6,0
2021-01-31,120,113,7,0
2021-02-01,133,128,5,0
2021-02-02,135,131,4,0
2021-02-03,137,132,5,0
2021-02-04,129,125,4,0
2021-02-05,127,118,9,0
2021-02-06,128,118,10,0
2021-02-07,131,126,5,0
2021-02-08,139,135,4,0
2021-02-09,133,125,8,0
2021-02-10,133,124,9,0
2021-02-11,130,118,12,0
2021-02-12,144,136,8,0
2021-02-13,117,108,9,0
2021-02-14,150,142,8,0
2021-02-15,130,124,6,0
2021-02-16,150,144,6,0
2021-02-17,132,128,3,1
2021-02-18,173,164,9,0
2021-02-19,181,169,11,1
2021-02-20,177,169,8,0
2021-02-21,148,137,11,0
2021-02-22,165,160,5,0
2021-02-23,148,139,9,0
2021-02-24,143,137,5,1
2021-02-25,182,173,9,0
2021-02-26,192,180,11,1
2021-02-27,193,185,7,1
2021-02-28,183,172,11,0
2021-03-01,205,193,12,0
2021-03-02,192,177,15,0
2021-03-03,201,188,11,2
2021-03-04,218,208,10,0
2021-03-05,186,178,8,0
2021-03-06,209,187,22,0
2021-03-07,204,184,19,1
2021-03-08,236,218,16,2
2021-03-09,231,209,22,0
2021-03-10,229,202,25,2
2021-03-11,229,207,18,4
