datum,kraj,pocet_nakazenych_per_capita,celkovy_pocet_nakazenych,celkovy_pocet_obyvatelov,prirastok
2021-09-17,Praha,0.13974925922264067,186577,1335084,0
2021-09-18,Praha,0.13979869431436523,186643,1335084,66
2021-09-19,Praha,0.13983914120759444,186697,1335084,54
2021-09-20,Praha,0.13991928597751152,186804,1335084,107
2021-09-21,Praha,0.14001066599554784,186926,1335084,122
2021-09-22,Praha,0.14009380683163006,187037,1335084,111
2021-09-23,Praha,0.14017544963462972,187146,1335084,109
2021-09-24,Praha,0.14025933948725325,187258,1335084,112
2021-09-25,Praha,0.14032075884363832,187340,1335084,82
2021-09-26,Praha,0.14036719786919774,187402,1335084,62
2021-09-27,Praha,0.1404488406721974,187511,1335084,109
2021-09-28,Praha,0.1405125070782063,187596,1335084,85
2021-09-29,Praha,0.14062635759248107,187748,1335084,152
2021-09-30,Praha,0.14073121990826046,187888,1335084,140
2021-10-01,Praha,0.14083533320749855,188027,1335084,139
2021-10-02,Praha,0.14091922306012206,188139,1335084,112
2021-10-03,Praha,0.14096790913530535,188204,1335084,65
2021-10-04,Praha,0.14106752833529576,188337,1335084,133
2021-10-05,Praha,0.14119860623001998,188512,1335084,175
2021-10-06,Praha,0.14129897444655168,188646,1335084,134
2021-10-07,Praha,0.14141357397736773,188799,1335084,153
2021-10-08,Praha,0.14154989498788093,188981,1335084,182
2021-10-09,Praha,0.14164427107208236,189107,1335084,126
2021-10-10,Praha,0.14169370616380692,189173,1335084,66
2021-10-11,Praha,0.14185174865401728,189384,1335084,211
2021-10-12,Praha,0.1419873206479892,189565,1335084,181
2021-10-13,Praha,0.14215659838631875,189791,1335084,226
2021-10-14,Praha,0.14230864874419888,189994,1335084,203
2021-10-15,Praha,0.1424756794329046,190217,1335084,223
2021-10-16,Praha,0.14262248667499572,190413,1335084,196
2021-10-17,Praha,0.14273409013964664,190562,1335084,149
2021-10-18,Praha,0.143011975276462,190933,1335084,371
2021-10-19,Praha,0.14331757402530476,191341,1335084,408
2021-10-20,Praha,0.143688337213239,191836,1335084,495
2021-10-21,Praha,0.14410329237710887,192390,1335084,554
2021-10-22,Praha,0.1445100083590246,192933,1335084,543
2021-10-23,Praha,0.14488526564620652,193434,1335084,501
2021-10-24,Praha,0.145123452906334,193752,1335084,318
2021-10-25,Praha,0.14556462364914866,194341,1335084,589
2021-10-26,Praha,0.14626195804908157,195272,1335084,931
2021-10-27,Praha,0.1468933789933817,196115,1335084,843
2021-10-28,Praha,0.14741169843994834,196807,1335084,692
2021-10-29,Praha,0.1479577314985424,197536,1335084,729
2021-10-30,Praha,0.14845882356465961,198205,1335084,669
2021-10-31,Praha,0.14876367329696108,198612,1335084,407
2021-11-01,Praha,0.14942355686982992,199493,1335084,881
2021-11-02,Praha,0.1504092626381561,200809,1335084,1316
2021-11-03,Praha,0.15119498098996018,201858,1335084,1049
2021-11-04,Praha,0.15192901720041585,202838,1335084,980
2021-11-05,Praha,0.15258590470711955,203715,1335084,877
2021-11-06,Praha,0.15321882368450224,204560,1335084,845
2021-11-07,Praha,0.1535686144092806,205027,1335084,467
2021-11-08,Praha,0.15442848539867154,206175,1335084,1148
2021-11-09,Praha,0.15571379778351024,207891,1335084,1716
2021-11-10,Praha,0.156892749819487,209465,1335084,1574
2021-11-11,Praha,0.1577698481893274,210636,1335084,1171
2021-11-12,Praha,0.15885442414110273,212084,1335084,1448
2021-11-13,Praha,0.15984687105830045,213409,1335084,1325
2021-11-14,Praha,0.1604857821680134,214262,1335084,853
2021-11-15,Praha,0.16146849187017445,215574,1335084,1312
2021-11-16,Praha,0.16350132276321191,218288,1335084,2714
2021-11-17,Praha,0.1649311953405179,220197,1335084,1909
2021-11-18,Praha,0.16600153997800887,221626,1335084,1429
2021-11-19,Praha,0.1681227548229175,224458,1335084,2832
2021-11-20,Praha,0.1695174236227833,226320,1335084,1862
2021-11-21,Praha,0.1704986352918618,227630,1335084,1310
2021-11-22,Praha,0.17177645751128767,229336,1335084,1706
2021-11-23,Praha,0.17400777778776466,232315,1335084,2979
2021-11-24,Praha,0.1752638785274934,233992,1335084,1677
2021-11-25,Praha,0.17758358275584157,237089,1335084,3097
2021-11-26,Praha,0.1791048353511839,239120,1335084,2031
2021-11-27,Praha,0.18032348526384856,240747,1335084,1627
2021-11-28,Praha,0.1814515041750182,242253,1335084,1506
2021-11-29,Praha,0.1830251879282502,244354,1335084,2101
2021-11-30,Praha,0.18464231464087652,246513,1335084,2159
2021-12-01,Praha,0.1861860377324573,248574,1335084,2061
2021-12-02,Praha,0.1875634791518736,250413,1335084,1839
2021-12-03,Praha,0.18881957989160233,252090,1335084,1677
2021-12-04,Praha,0.18980453664338723,253405,1335084,1315
2021-12-05,Praha,0.1905071141591091,254343,1335084,938
2021-12-06,Praha,0.1919077750913051,256213,1335084,1870
2021-12-07,Praha,0.19319982862501536,257938,1335084,1725
2021-12-08,Praha,0.1942874006429558,259390,1335084,1452
2021-12-09,Praha,0.19532329051954783,260773,1335084,1383
2021-12-10,Praha,0.19621162413750745,261959,1335084,1186
2021-12-11,Praha,0.1970947146396781,263138,1335084,1179
2021-12-12,Praha,0.19749993258851128,263679,1335084,541
2021-12-13,Praha,0.1984893834395439,265000,1335084,1321
2021-12-14,Praha,0.1997387430304011,266668,1335084,1668
2021-12-15,Praha,0.2006068532017461,267827,1335084,1159
2021-09-17,Stredocesky,0.16492238538423187,230561,1397997,0
2021-09-18,Stredocesky,0.164956004912743,230608,1397997,47
2021-09-19,Stredocesky,0.1649703110950882,230628,1397997,20
2021-09-20,Stredocesky,0.16502467458799983,230704,1397997,76
2021-09-21,Stredocesky,0.16508404524473227,230787,1397997,83
2021-09-22,Stredocesky,0.1651455618288165,230873,1397997,86
2021-09-23,Stredocesky,0.16519706408525914,230945,1397997,72
2021-09-24,Stredocesky,0.16526215721492965,231036,1397997,91
2021-09-25,Stredocesky,0.1653007839072616,231090,1397997,54
2021-09-26,Stredocesky,0.16533082689018647,231132,1397997,42
2021-09-27,Stredocesky,0.165398781256326,231227,1397997,95
2021-09-28,Stredocesky,0.16545743660394122,231309,1397997,82
2021-09-29,Stredocesky,0.165523245042729,231401,1397997,92
2021-09-30,Stredocesky,0.16562195770091065,231539,1397997,138
2021-10-01,Stredocesky,0.16571137134056796,231664,1397997,125
2021-10-02,Stredocesky,0.16577217261553495,231749,1397997,85
2021-10-03,Stredocesky,0.1657950625072872,231781,1397997,32
2021-10-04,Stredocesky,0.16586373218254402,231877,1397997,96
2021-10-05,Stredocesky,0.1659724591683673,232029,1397997,152
2021-10-06,Stredocesky,0.1660761789903698,232174,1397997,145
2021-10-07,Stredocesky,0.16616487732090984,232298,1397997,124
2021-10-08,Stredocesky,0.1662414153964565,232405,1397997,107
2021-10-09,Stredocesky,0.16631151568994784,232503,1397997,98
2021-10-10,Stredocesky,0.16633512089081737,232536,1397997,33
2021-10-11,Stredocesky,0.1664381254037026,232680,1397997,144
2021-10-12,Stredocesky,0.16654899831687764,232835,1397997,155
2021-10-13,Stredocesky,0.16667489272151514,233011,1397997,176
2021-10-14,Stredocesky,0.16679864119880086,233184,1397997,173
2021-10-15,Stredocesky,0.16692095905785206,233355,1397997,171
2021-10-16,Stredocesky,0.16702038702515098,233494,1397997,139
2021-10-17,Stredocesky,0.16708619546393877,233586,1397997,92
