datum,kraj,pocet_nakazenych_per_capita,celkovy_pocet_nakazenych,celkovy_pocet_obyvatelov,prirastok
2020-12-17,Praha,0.04938565663284108,65934,1335084,0
2020-12-18,Praha,0.05000734036210456,66764,1335084,830
2020-12-19,Praha,0.05058183604926731,67531,1335084,767
2020-12-20,Praha,0.05089792102968802,67953,1335084,422
2020-12-21,Praha,0.05147241671685077,68720,1335084,767
2020-12-22,Praha,0.0523525111528563,69895,1335084,1175
2020-12-23,Praha,0.0534378361211729,71344,1335084,1449
2020-12-24,Praha,0.05400858672562925,72106,1335084,762
2020-12-25,Praha,0.05425576218425208,72436,1335084,330
2020-12-26,Praha,0.054487208295507995,72745,1335084,309
2020-12-27,Praha,0.054923135922533714,73327,1335084,582
2020-12-28,Praha,0.05591633185627271,74653,1335084,1326
2020-12-29,Praha,0.057424851170413245,76667,1335084,2014
2020-12-30,Praha,0.05880678668907724,78512,1335084,1845
2020-12-31,Praha,0.06011456957015439,80258,1335084,1746
2021-01-01,Praha,0.06040518798817153,80646,1335084,388
2021-01-02,Praha,0.06082313921820649,81204,1335084,558
2021-01-03,Praha,0.06144706999709382,82037,1335084,833
2021-01-04,Praha,0.062376599524823904,83278,1335084,1241
2021-01-05,Praha,0.06389560507054237,85306,1335084,2028
2021-01-06,Praha,0.06522585844785796,87082,1335084,1776
2021-01-07,Praha,0.06626624242369769,88471,1335084,1389
2021-01-08,Praha,0.06719801900105161,89715,1335084,1244
2021-01-09,Praha,0.06777700878746207,90488,1335084,773
2021-01-10,Praha,0.06813279164457067,90963,1335084,475
2021-01-11,Praha,0.06873125586105444,91762,1335084,799
2021-01-12,Praha,0.06943458239331757,92701,1335084,939
2021-01-13,Praha,0.0702225477947455,93753,1335084,1052
2021-01-14,Praha,0.07075434953905523,94463,1335084,710
2021-01-15,Praha,0.07130262964727313,95195,1335084,732
2021-01-16,Praha,0.0716599105374643,95672,1335084,477
2021-01-17,Praha,0.0718606469705277,95940,1335084,268
2021-01-18,Praha,0.07238945264867229,96646,1335084,706
2021-01-19,Praha,0.07305907343657778,97540,1335084,894
2021-01-20,Praha,0.07365379257035512,98334,1335084,794
2021-01-21,Praha,0.0741473944710595,98993,1335084,659
2021-01-22,Praha,0.07479828984543295,99862,1335084,869
2021-01-23,Praha,0.07515631975216541,100340,1335084,478
2021-01-24,Praha,0.07536229930101776,100615,1335084,275
2021-01-25,Praha,0.07591057940923568,101347,1335084,732
2021-01-26,Praha,0.07662139610691163,102296,1335084,949
2021-01-27,Praha,0.0772790326301566,103174,1335084,878
2021-01-28,Praha,0.0778962222601724,103998,1335084,824
2021-01-29,Praha,0.0785725841969494,104901,1335084,903
2021-01-30,Praha,0.07889840639240676,105336,1335084,435
2021-01-31,Praha,0.07914108775178191,105660,1335084,324
2021-02-01,Praha,0.07972681868706388,106442,1335084,782
2021-02-02,Praha,0.08044812161631777,107405,1335084,963
2021-02-03,Praha,0.08115519323128732,108349,1335084,944
2021-02-04,Praha,0.08194615469888036,109405,1335084,1056
2021-02-05,Praha,0.08261502647024457,110298,1335084,893
2021-02-06,Praha,0.08305694622960054,110888,1335084,590
2021-02-07,Praha,0.08330936480401233,111225,1335084,337
2021-02-08,Praha,0.0841834671076876,112392,1335084,1167
2021-02-09,Praha,0.08504258908053726,113539,1335084,1147
2021-02-10,Praha,0.08578111939024062,114525,1335084,986
2021-02-11,Praha,0.08660803365181517,115629,1335084,1104
2021-02-12,Praha,0.08734731297805981,116616,1335084,987
2021-02-13,Praha,0.08796749867424072,117444,1335084,828
2021-02-14,Praha,0.08830979923360628,117901,1335084,457
2021-02-15,Praha,0.08911499201548367,118976,1335084,1075
2021-02-16,Praha,0.09013140746200239,120333,1335084,1357
2021-02-17,Praha,0.09113508962731932,121673,1335084,1340
2021-02-18,Praha,0.09216348933849855,123046,1335084,1373
2021-02-19,Praha,0.09307354443615533,124261,1335084,1215
2021-02-20,Praha,0.09379484736540922,125224,1335084,963
2021-02-21,Praha,0.09437982928414991,126005,1335084,781
2021-02-22,Praha,0.09532583717578819,127268,1335084,1263
2021-02-23,Praha,0.09684858780421307,129301,1335084,2033
2021-02-24,Praha,0.09796312441763964,130789,1335084,1488
2021-02-25,Praha,0.09920724089270787,132450,1335084,1661
2021-02-26,Praha,0.10053300017077577,134220,1335084,1770
2021-02-27,Praha,0.10146777281429484,135468,1335084,1248
2021-02-28,Praha,0.10216810328039284,136403,1335084,935
2021-03-01,Praha,0.10327365169532404,137879,1335084,1476
2021-03-02,Praha,0.10477243379442791,139880,1335084,2001
2021-03-03,Praha,0.10600381698829436,141524,1335084,1644
2021-03-04,Praha,0.10738125840771068,143363,1335084,1839
2021-03-05,Praha,0.10846508534294472,144810,1335084,1447
2021-03-06,Praha,0.10941184225112427,146074,1335084,1264
2021-03-07,Praha,0.10988072660596637,146700,1335084,626
2021-03-08,Praha,0.11074958579385268,147860,1335084,1160
2021-03-09,Praha,0.11206560785688391,149617,1335084,1757
2021-03-10,Praha,0.11333444187781443,151311,1335084,1694
2021-03-11,Praha,0.11416285417247155,152417,1335084,1106
2021-03-12,Praha,0.11520323814831127,153806,1335084,1389
2021-03-13,Praha,0.1158990745151616,154735,1335084,929
2021-03-14,Praha,0.11627058671963712,155231,1335084,496
2021-03-15,Praha,0.1170240973601661,156237,1335084,1006
2021-03-16,Praha,0.11810193216306988,157676,1335084,1439
2021-03-17,Praha,0.11899775594644232,158872,1335084,1196
2021-03-18,Praha,0.11977972921553999,159916,1335084,1044
2020-12-17,Stredocesky,0.05499511086218354,76883,1397997,0
2020-12-18,Stredocesky,0.05578910398234045,77993,1397997,1110
2020-12-19,Stredocesky,0.056321293965580756,78737,1397997,744
2020-12-20,Stredocesky,0.05652086520929587,79016,1397997,279
2020-12-21,Stredocesky,0.0572404661812579,80022,1397997,1006
2020-12-22,Stredocesky,0.058347764694774026,81570,1397997,1548
2020-12-23,Stredocesky,0.059605278122914426,83328,1397997,1758
2020-12-24,Stredocesky,0.06005520755767001,83957,1397997,629
2020-12-25,Stredocesky,0.06025978596520593,84243,1397997,286
2020-12-26,Stredocesky,0.060505136992425594,84586,1397997,343
2020-12-27,Stredocesky,0.060852777223413215,85072,1397997,486
2020-12-28,Stredocesky,0.061992979956323226,86666,1397997,1594
2020-12-29,Stredocesky,0.0636918391098121,89041,1397997,2375
2020-12-30,Stredocesky,0.06537925331742486,91400,1397997,2359
2020-12-31,Stredocesky,0.06698083043096659,93639,1397997,2239
2021-01-01,Stredocesky,0.06724191825876594,94004,1397997,365
2021-01-02,Stredocesky,0.06764964445560327,94574,1397997,570
2021-01-03,Stredocesky,0.06823047545881715,95386,1397997,812
2021-01-04,Stredocesky,0.06936424040967183,96971,1397997,1585
2021-01-05,Stredocesky,0.07124693400629616,99603,1397997,2632
2021-01-06,Stredocesky,0.07286067137483128,101859,1397997,2256
2021-01-07,Stredocesky,0.07426196193554063,103818,1397997,1959
2021-01-08,Stredocesky,0.07538857379522274,105393,1397997,1575
2021-01-09,Stredocesky,0.07610173698512944,106390,1397997,997
2021-01-10,Stredocesky,0.07636926259498411,106764,1397997,374
2021-01-11,Stredocesky,0.07718113844307248,107899,1397997,1135
2021-01-12,Stredocesky,0.07818829368017242,109307,1397997,1408
2021-01-13,Stredocesky,0.07925267364665303,110795,1397997,1488
2021-01-14,Stredocesky,0.07996440621832522,111790,1397997,995
2021-01-15,Stredocesky,0.08082206184991814,112989,1397997,1199
2021-01-16,Stredocesky,0.08131276390435745,113675,1397997,686
2021-01-17,Stredocesky,0.08145439510957463,113873,1397997,198
2021-01-18,Stredocesky,0.08219688597328893,114911,1397997,1038
2021-01-19,Stredocesky,0.0830760008783996,116140,1397997,1229
2021-01-20,Stredocesky,0.08388787672648797,117275,1397997,1135
2021-01-21,Stredocesky,0.08460962362580177,118284,1397997,1009
2021-01-22,Stredocesky,0.08540933921889675,119402,1397997,1118
2021-01-23,Stredocesky,0.08584281654395538,120008,1397997,606
2021-01-24,Stredocesky,0.0860080529500421,120239,1397997,231
2021-01-25,Stredocesky,0.0867348070131767,121255,1397997,1016
2021-01-26,Stredocesky,0.0876289434097498,122505,1397997,1250
2021-01-27,Stredocesky,0.08847014693164577,123681,1397997,1176
2021-01-28,Stredocesky,0.08914825997480681,124629,1397997,948
2021-01-29,Stredocesky,0.0898721528014724,125641,1397997,1012
2021-01-30,Stredocesky,0.09023839106950873,126153,1397997,512
2021-01-31,Stredocesky,0.09042222551264416,126410,1397997,257
2021-02-01,Stredocesky,0.0911847450316417,127476,1397997,1066
2021-02-02,Stredocesky,0.09223410350665989,128943,1397997,1467
2021-02-03,Stredocesky,0.09317401968673752,130257,1397997,1314
2021-02-04,Stredocesky,0.09402666815450964,131449,1397997,1192
2021-02-05,Stredocesky,0.09495442407959388,132746,1397997,1297
2021-02-06,Stredocesky,0.0955087886454692,133521,1397997,775
2021-02-07,Stredocesky,0.09571408236212238,133808,1397997,287
2021-02-08,Stredocesky,0.09659462788546756,135039,1397997,1231
2021-02-09,Stredocesky,0.09762610363255429,136481,1397997,1442
2021-02-10,Stredocesky,0.09872982560048413,138024,1397997,1543
2021-02-11,Stredocesky,0.09969692352701759,139376,1397997,1352
2021-02-12,Stredocesky,0.10056101694066583,140584,1397997,1208
2021-02-13,Stredocesky,0.10124914431146848,141546,1397997,962
2021-02-14,Stredocesky,0.10151523930308863,141918,1397997,372
2021-02-15,Stredocesky,0.10248376784785661,143272,1397997,1354
2021-02-16,Stredocesky,0.1039208238644289,145281,1397997,2009
2021-02-17,Stredocesky,0.10522411707607383,147103,1397997,1822
2021-02-18,Stredocesky,0.10655101548858832,148958,1397997,1855
2021-02-19,Stredocesky,0.10796518161340833,150935,1397997,1977
2021-02-20,Stredocesky,0.10886432517380223,152192,1397997,1257
2021-02-21,Stredocesky,0.10934286697324816,152861,1397997,669
2021-02-22,Stredocesky,0.11062470091137534,154653,1397997,1792
2021-02-23,Stredocesky,0.11246519127008141,157226,1397997,2573
2021-02-24,Stredocesky,0.11403744070981554,159424,1397997,2198
2021-02-25,Stredocesky,0.11574989073653234,161818,1397997,2394
2021-02-26,Stredocesky,0.11744660396266945,164190,1397997,2372
2021-02-27,Stredocesky,0.11856606273117896,165755,1397997,1565
2021-02-28,Stredocesky,0.11913330286116494,166548,1397997,793
2021-03-01,Stredocesky,0.12050669636630122,168468,1397997,1920
2021-03-02,Stredocesky,0.12258681527928887,171376,1397997,2908
