datum,hospitalizovani_celkom,neockovani,jedna_davka,zaockovani
2021-01-01,580,578,0,1
2021-01-02,691,689,2,0
2021-01-03,652,649,2,1
2021-01-04,998,997,1,0
2021-01-05,1010,1007,2,1
2021-01-06,908,907,0,1
2021-01-07,925,923,2,0
2021-01-08,806,802,4,0
2021-01-09,586,581,3,2
2021-01-10,545,545,0,0
2021-01-11,858,851,7,0
2021-01-12,856,838,17,1
2021-01-13,695,692,3,0
2021-01-14,663,653,10,0
2021-01-15,717,706,10,1
2021-01-16,451,446,5,0
2021-01-17,406,401,5,0
2021-01-18,702,685,16,0
2021-01-19,703,688,14,1
2021-01-20,678,658,18,2
2021-01-21,580,572,8,0
2021-01-22,610,594,16,0
2021-01-23,453,437,16,0
2021-01-24,382,372,10,0
2021-01-25,660,631,27,2
2021-01-26,644,614,30,0
2021-01-27,586,547,39,0
2021-01-28,558,535,21,2
2021-01-29,616,580,36,0
2021-01-30,425,402,23,0
2021-01-31,386,371,15,0
2021-02-01,741,702,39,0
2021-02-02,637,603,33,1
2021-02-03,617,587,30,0
2021-02-04,642,597,45,0
2021-02-05,591,558,32,1
2021-02-06,476,459,17,0
2021-02-07,434,418,16,0
2021-02-08,689,661,28,0
2021-02-09,657,622,35,0
2021-02-10,637,617,20,0
2021-02-11,632,603,29,0
2021-02-12,615,591,23,1
2021-02-13,477,450,27,0
2021-02-14,537,519,18,0
2021-02-15,726,695,29,2
2021-02-16,764,730,33,1
2021-02-17,800,768,31,1
2021-02-18,732,707,23,2
2021-02-19,780,744,34,2
2021-02-20,561,532,27,2
2021-02-21,595,574,21,0
2021-02-22,921,888,30,3
2021-02-23,853,827,23,3
2021-02-24,846,816,29,1
2021-02-25,921,876,42,3
2021-02-26,908,860,45,3
2021-02-27,716,679,34,3
2021-02-28,650,625,23,2
2021-03-01,1156,1106,44,6
2021-03-02,1050,993,47,10
2021-03-03,866,826,35,5
2021-03-04,924,880,41,3
2021-03-05,906,846,56,4
2021-03-06,747,707,37,3
2021-03-07,713,686,26,1
2021-03-08,1044,991,52,1
2021-03-09,980,913,64,3
2021-03-10,1031,955,65,11
2021-03-11,932,856,68,8
2021-03-12,973,909,58,6
2021-03-13,745,706,36,3
2021-03-14,655,611,42,2
2021-03-15,1035,940,88,7
2021-03-16,924,830,85,9
2021-03-17,875,791,79,5
2021-03-18,811,744,64,3
2021-03-19,808,712,88,8
2021-03-20,562,493,62,7
2021-03-21,564,507,51,6
2021-03-22,937,832,100,5
2021-03-23,765,667,88,10
2021-03-24,745,646,93,6
2021-03-25,729,647,75,7
2021-03-26,710,624,81,5
2021-03-27,564,490,70,4
2021-03-28,495,434,58,3
2021-03-29,791,702,79,10
2021-03-30,658,566,85,7
2021-03-31,655,564,86,5
2021-04-01,619,551,63,5
2021-04-02,507,439,65,3
2021-04-03,475,418,54,3
2021-04-04,444,378,63,3
2021-04-05,367,320,44,3
2021-04-06,640,569,62,9
2021-04-07,518,458,52,8
2021-04-08,433,366,57,10
2021-04-09,482,421,53,8
2021-04-10,304,262,32,10
2021-04-11,283,244,33,6
2021-04-12,416,359,45,12
2021-04-13,375,326,47,2
2021-04-14,390,336,45,9
2021-04-15,351,299,44,8
2021-04-16,343,289,51,3
2021-04-17,263,233,26,4
