datum,kraj,pocet_nakazenych_per_capita,celkovy_pocet_nakazenych,celkovy_pocet_obyvatelov,prirastok
2021-06-18,Praha,0.1358588673072256,181383,1335084,0
2021-06-19,Praha,0.1358760946876751,181406,1335084,23
2021-06-20,Praha,0.13589032600195944,181425,1335084,19
2021-06-21,Praha,0.13591279649819787,181455,1335084,30
2021-06-22,Praha,0.13593451797789502,181484,1335084,29
2021-06-23,Praha,0.13594949830872066,181504,1335084,20
2021-06-24,Praha,0.13597646290420679,181540,1335084,36
2021-06-25,Praha,0.13600941963202315,181584,1335084,44
2021-06-26,Praha,0.13603488619442672,181618,1335084,34
2021-06-27,Praha,0.13605361160795876,181643,1335084,25
2021-06-28,Praha,0.13610005063351818,181705,1335084,62
2021-06-29,Praha,0.13614199555982995,181761,1335084,56
2021-06-30,Praha,0.13618918360193066,181824,1335084,63
2021-07-01,Praha,0.13623861869365522,181890,1335084,66
2021-07-02,Praha,0.13628281066959083,181949,1335084,59
2021-07-03,Praha,0.13632101051319617,182000,1335084,51
2021-07-04,Praha,0.13636595150567304,182060,1335084,60
2021-07-05,Praha,0.13640190429965454,182108,1335084,48
2021-07-06,Praha,0.13643486102747093,182152,1335084,44
2021-07-07,Praha,0.1365007744831037,182240,1335084,88
2021-07-08,Praha,0.13656294285603005,182323,1335084,83
2021-07-09,Praha,0.13662960532820406,182412,1335084,89
2021-07-10,Praha,0.13666181303947916,182455,1335084,43
2021-07-11,Praha,0.136711997147745,182522,1335084,67
2021-07-12,Praha,0.13676367928909341,182591,1335084,69
2021-07-13,Praha,0.13684307504246923,182697,1335084,106
2021-07-14,Praha,0.1369014983326892,182775,1335084,78
2021-07-15,Praha,0.13696366670561552,182858,1335084,83
2021-07-16,Praha,0.13702583507854188,182941,1335084,83
2021-07-17,Praha,0.13708201131913797,183016,1335084,75
2021-07-18,Praha,0.1371209601792846,183068,1335084,52
2021-07-19,Praha,0.13717114428755045,183135,1335084,67
2021-07-20,Praha,0.13724304987551345,183231,1335084,96
2021-07-21,Praha,0.13728724185144905,183290,1335084,59
2021-07-22,Praha,0.13733442989354977,183353,1335084,63
2021-07-23,Praha,0.1373733787536964,183405,1335084,52
2021-07-24,Praha,0.13740633548151276,183449,1335084,44
2021-07-25,Praha,0.13742805696120994,183478,1335084,29
2021-07-26,Praha,0.13746850385443912,183532,1335084,54
2021-07-27,Praha,0.13751194681383344,183590,1335084,58
2021-07-28,Praha,0.13754265649202596,183631,1335084,41
2021-07-29,Praha,0.13757037010405337,183668,1335084,37
2021-07-30,Praha,0.13759059355066797,183695,1335084,27
