datum,kraj,pocet_nakazenych_per_capita,celkovy_pocet_nakazenych,celkovy_pocet_obyvatelov,prirastok
2021-03-19,Praha,0.12066281971771065,161095,1335084,0
2021-03-20,Praha,0.12114219030413068,161735,1335084,640
2021-03-21,Praha,0.12139086379583607,162067,1335084,332
2021-03-22,Praha,0.12204475523637465,162940,1335084,873
2021-03-23,Praha,0.12279302276111466,163939,1335084,999
2021-03-24,Praha,0.1233720125475251,164712,1335084,773
2021-03-25,Praha,0.1239689787309263,165509,1335084,797
2021-03-26,Praha,0.1245374822857588,166268,1335084,759
2021-03-27,Praha,0.1248977592421151,166749,1335084,481
2021-03-28,Praha,0.12506778599698595,166976,1335084,227
2021-03-29,Praha,0.12556138789769034,167635,1335084,659
2021-03-30,Praha,0.12611341308861465,168372,1335084,737
2021-03-31,Praha,0.12664371679984182,169080,1335084,708
2021-04-01,Praha,0.1269882644088312,169540,1335084,460
2021-04-02,Praha,0.12737625497721491,170058,1335084,518
2021-04-03,Praha,0.12757624239373702,170325,1335084,267
2021-04-04,Praha,0.12776349652905736,170575,1335084,250
2021-04-05,Praha,0.1279050606553595,170764,1335084,189
2021-04-06,Praha,0.12824361613201865,171216,1335084,452
2021-04-07,Praha,0.1287139985199433,171844,1335084,628
2021-04-08,Praha,0.12903307956652915,172270,1335084,426
2021-04-09,Praha,0.12935216061311497,172696,1335084,426
2021-04-10,Praha,0.12955289704617837,172964,1335084,268
2021-04-11,Praha,0.12966150444466415,173109,1335084,145
2021-04-12,Praha,0.12991691908524108,173450,1335084,341
2021-04-13,Praha,0.13023450209874435,173874,1335084,424
2021-04-14,Praha,0.13049366182202768,174220,1335084,346
2021-04-15,Praha,0.13069514727163234,174489,1335084,269
2021-04-16,Praha,0.13094007568063132,174816,1335084,327
2021-04-17,Praha,0.13108763193926376,175013,1335084,197
2021-04-18,Praha,0.13115054932873138,175097,1335084,84
2021-04-19,Praha,0.13134304657984067,175354,1335084,257
2021-04-20,Praha,0.13161643761740835,175719,1335084,365
2021-04-21,Praha,0.1318059388023525,175972,1335084,253
2021-04-22,Praha,0.13196173424293903,176180,1335084,208
2021-04-23,Praha,0.13213176099780988,176407,1335084,227
2021-04-24,Praha,0.1322553487271213,176572,1335084,165
2021-04-25,Praha,0.13232500726546045,176665,1335084,93
2021-04-26,Praha,0.13247331254063416,176863,1335084,198
2021-04-27,Praha,0.13269352340377086,177157,1335084,294
2021-04-28,Praha,0.13286130310901786,177381,1335084,224
2021-04-29,Praha,0.13303357691351256,177611,1335084,230
2021-04-30,Praha,0.1331841292383101,177812,1335084,201
2021-05-01,Praha,0.1332762582728877,177935,1335084,123
2021-05-02,Praha,0.13332943844731868,178006,1335084,71
2021-05-03,Praha,0.13351744159918028,178257,1335084,251
2021-05-04,Praha,0.13365376260969347,178439,1335084,182
2021-05-05,Praha,0.13376986017359208,178594,1335084,155
2021-05-06,Praha,0.13389569495252734,178762,1335084,168
2021-05-07,Praha,0.13402752186379285,178938,1335084,176
2021-05-08,Praha,0.13409867843521456,179033,1335084,95
2021-05-09,Praha,0.13413463122919606,179081,1335084,48
2021-05-10,Praha,0.13423050534648007,179209,1335084,128
2021-05-11,Praha,0.13434435586075483,179361,1335084,152
2021-05-12,Praha,0.13444772014345166,179499,1335084,138
2021-05-13,Praha,0.13452337081412105,179600,1335084,101
2021-05-14,Praha,0.1346065116502033,179711,1335084,111
2021-05-15,Praha,0.13466268789079938,179786,1335084,75
2021-05-16,Praha,0.13468440937049653,179815,1335084,29
2021-05-17,Praha,0.13477129528928516,179931,1335084,116
2021-05-18,Praha,0.13487166350581686,180065,1335084,134
2021-05-19,Praha,0.13493982401107346,180156,1335084,91
2021-05-20,Praha,0.13498776106971547,180220,1335084,64
2021-05-21,Praha,0.13504318829377027,180294,1335084,74
2021-05-22,Praha,0.13508588223662332,180351,1335084,57
2021-05-23,Praha,0.13510086256744894,180371,1335084,20
2021-05-24,Praha,0.1351510466757148,180438,1335084,67
2021-05-25,Praha,0.13520123078398064,180505,1335084,67
2021-05-26,Praha,0.13524766980954006,180567,1335084,62
2021-05-27,Praha,0.13528362260352159,180615,1335084,48
2021-05-28,Praha,0.1353225714636682,180667,1335084,52
2021-05-29,Praha,0.13534878704261305,180702,1335084,35
2021-05-30,Praha,0.1353675124561451,180727,1335084,25
2021-05-31,Praha,0.1353952260681725,180764,1335084,37
2021-06-01,Praha,0.1354349239448604,180817,1335084,53
2021-06-02,Praha,0.1354663826395942,180859,1335084,42
2021-06-03,Praha,0.13552480592981414,180937,1335084,78
2021-06-04,Praha,0.13555926069071308,180983,1335084,46
2021-06-05,Praha,0.13557948413732768,181010,1335084,27
2021-06-06,Praha,0.13559596250123587,181032,1335084,22
2021-06-07,Praha,0.13562142906363944,181066,1335084,34
2021-06-08,Praha,0.13566112694032734,181119,1335084,53
2021-06-09,Praha,0.13567985235385938,181144,1335084,25
2021-06-10,Praha,0.13569857776739142,181169,1335084,25
2021-06-11,Praha,0.135718801214006,181196,1335084,27
2021-06-12,Praha,0.13572853842904267,181209,1335084,13
2021-06-13,Praha,0.1357352795779142,181218,1335084,9
2021-06-14,Praha,0.1357472638425747,181234,1335084,16
2021-06-15,Praha,0.13577273040497825,181268,1335084,34
2021-06-16,Praha,0.13579445188467543,181297,1335084,29
2021-06-17,Praha,0.13583190271173948,181347,1335084,50
2021-03-19,Stredocesky,0.14463049634584338,202193,1397997,0
2021-03-20,Stredocesky,0.14526497553285164,203080,1397997,887
2021-03-21,Stredocesky,0.14550031223242968,203409,1397997,329
